          x(meter)            y(meter)                 u(m/s)              v(m/s)
        500935.37500        4267283.50000              0.00610              0.00639
        502001.84375        4262073.00000              0.00692              0.00861
        497343.18750        4258579.50000              0.00344              0.00993
        498657.84375        4253645.50000              0.00003              0.00864
        494182.90625        4249499.50000              0.00408              0.00939
        496277.12500        4245106.50000             -0.00209              0.00115
        494608.50000        4240103.00000              0.00245              0.00357
        490190.12500        4237991.00000              0.00822              0.00695
        490596.93750        4231628.00000              0.01330              0.00668
        486285.87500        4228938.50000              0.01330              0.00771
        487077.96875        4222927.00000              0.01612              0.00591
        483044.06250        4220011.00000              0.01454              0.01770
        483913.06250        4214345.50000              0.01443              0.01802
        479651.34375        4211213.50000              0.01230              0.02645
        480504.28125        4205989.00000              0.01520              0.02515
        475946.93750        4202452.50000              0.01832              0.02982
        477378.56250        4197857.00000              0.02096              0.02550
        475162.56250        4193412.75000              0.00445              0.05575
        470390.90625        4192220.75000             -0.00269              0.05978
        469515.87500        4186822.50000              0.00751              0.05102
        473004.78125        4183045.50000              0.01803              0.07562
        471488.81250        4178629.00000              0.05610              0.06615
        473872.65625        4175198.00000              0.07947              0.07868
        472268.06250        4171383.25000              0.13684              0.09447
        473964.06250        4168540.00000              0.13964              0.07813
        473117.93750        4165041.25000              0.12980              0.08806
        470916.59375        4163470.00000              0.07868              0.13498
        470954.03125        4159638.00000              0.03083              0.18753
        468611.00000        4158368.25000             -0.19804              0.43395
        467982.43750        4155679.75000             -0.41154              0.50268
        469473.65625        4153546.25000             -0.35571              0.54557
        468016.34375        4151512.00000             -0.16472              0.34229
        468512.53125        4149734.00000             -0.01521              0.36160
        470026.40625        4148858.50000             -0.11617              0.47663
        469649.06250        4146996.25000             -0.20245              0.44132
        470571.28125        4145955.75000             -0.14539              0.46821
        469965.31250        4144572.50000              0.08217              0.17842
        470702.00000        4143713.25000              0.10408              0.22235
        470466.34375        4142850.00000              0.00000              0.00000
        568831.37500        4409237.50000              0.05921              0.01188
        566125.37500        4407406.50000              0.05460              0.03600
        565479.43750        4404592.00000              0.02232             -0.00542
        567297.25000        4402823.00000              0.02824              0.02454
        565780.43750        4399609.00000              0.01155              0.00238
        562759.37500        4399710.50000              0.02031              0.02579
        560754.81250        4397684.50000             -0.00135              0.00680
        560903.75000        4394652.00000             -0.02757              0.00249
        562697.37500        4392695.50000             -0.03233             -0.00147
        560945.37500        4389201.50000             -0.02546              0.00854
        558057.00000        4389710.50000             -0.03095              0.00111
        555289.00000        4388028.50000             -0.01873              0.00665
        554792.56250        4384615.50000             -0.01115              0.00518
        550694.31250        4382842.00000             -0.00830              0.00311
        548134.81250        4385170.00000             -0.01431             -0.00267
        544105.25000        4385137.00000              0.00057              0.00135
        541154.93750        4381365.50000             -0.00189             -0.00018
        542229.68750        4376438.50000              0.00163             -0.00011
        537242.18750        4371485.50000             -0.00352              0.00533
        538232.62500        4366971.00000              0.00711              0.00998
        536042.93750        4361172.50000              0.01214             -0.00613
        531725.12500        4358313.00000              0.00886             -0.00118
        531816.75000        4351405.00000              0.01187              0.00501
        527280.75000        4348366.50000              0.01139              0.00465
        527375.68750        4342139.50000              0.00826              0.00588
        522816.75000        4339383.50000              0.00816              0.00712
        523168.84375        4333396.50000              0.01053              0.00480
        518831.03125        4330530.50000              0.00716              0.00278
        519548.84375        4324377.00000              0.01912              0.00284
        515186.68750        4321302.00000              0.01458             -0.00015
        515699.71875        4315240.00000              0.01218              0.00486
        511172.00000        4312222.00000              0.01422              0.00354
        511790.71875        4306080.50000              0.00397              0.00301
        507288.84375        4303077.00000              0.00694              0.00604
        507731.90625        4296851.00000              0.00481              0.00326
        503076.87500        4293984.50000              0.00508              0.00398
        503500.65625        4287756.50000              0.00269              0.00353
        499079.28125        4284858.50000              0.00188              0.00336
        499525.78125        4278753.50000              0.00185              0.00412
        495059.65625        4275816.50000              0.00252              0.00293
        495585.56250        4269811.50000              0.00387              0.00467
        491167.43750        4266755.50000              0.00273              0.00501
        491858.56250        4260734.50000              0.00176              0.00733
        487569.46875        4257488.00000              0.00273              0.00682
        488579.12500        4251186.50000              0.00007              0.00742
        484362.59375        4247889.00000              0.00176              0.00489
        485142.21875        4241591.00000              0.00398              0.00574
        480736.37500        4238528.50000              0.00631              0.00606
        481473.18750        4232239.00000              0.01119              0.00756
        477325.28125        4229195.00000              0.00924              0.01138
        478104.03125        4222978.50000              0.01094              0.01323
        473958.12500        4219906.50000              0.00696              0.01719
        474636.40625        4213807.00000              0.00826              0.01859
        470234.00000        4210792.50000              0.00552              0.02007
        470691.56250        4204663.00000              0.01228              0.02140
        465880.50000        4201914.50000              0.00007              0.03083
        465722.78125        4196130.00000             -0.00873              0.02886
        460635.31250        4193942.75000             -0.00199              0.01656
        460322.03125        4188238.25000             -0.00121              0.00914
        464534.50000        4185027.50000              0.00955              0.02866
        464216.81250        4180328.75000              0.02373              0.03237
        467682.25000        4177707.50000              0.05452              0.06615
        466461.00000        4173622.75000              0.09089              0.07697
        468663.00000        4170729.75000              0.14136              0.09451
        467595.34375        4167648.00000              0.13728              0.15924
        468901.56250        4164782.50000              0.09413              0.19686
        466394.75000        4163188.25000             -0.01272              0.32392
        466066.71875        4160606.25000             -0.10149              0.34689
        463758.90625        4159640.50000             -0.15316              0.21485
        463549.15625        4156833.25000             -0.30236              0.19966
        465228.40625        4155110.50000             -0.26574              0.25936
        464070.62500        4152810.00000             -0.07706              0.10660
        465367.31250        4151344.75000             -0.03775              0.14635
        464709.68750        4149498.75000              0.11485              0.04320
        466625.46875        4148582.00000              0.10777              0.15188
        466887.03125        4146984.75000              0.03395              0.11054
        468396.75000        4146274.50000              0.07388              0.20861
        468725.65625        4144726.25000              0.27969              0.04923
        467865.00000        4144080.00000              0.37586             -0.02468
        468050.34375        4143202.75000              0.00000              0.00000
        563877.75000        4408633.50000              0.03048              0.00368
        561271.62500        4407161.50000              0.04345              0.02333
