Modularity£º 0.51
Total number of provinves: 5
x of grid center     y of grid center    province label
     225000             4255000                3          
     225000             4265000                3          
     225000             4275000                3          
     225000             4285000                3          
     225000             4295000                3          
     225000             4305000                3          
     225000             4315000                3          
     225000             4325000                3          
     225000             4335000                3          
     225000             4345000                3          
     225000             4355000                3          
     225000             4365000                3          
     225000             4375000                1          
     225000             4385000                1          
     225000             4395000                1          
     225000             4405000                1          
     225000             4415000                1          
     225000             4425000                1          
     235000             4185000                4          
     235000             4195000                1          
     235000             4205000                1          
     235000             4215000                3          
     235000             4225000                3          
     235000             4235000                3          
     235000             4245000                3          
     235000             4255000                3          
     235000             4265000                3          
     235000             4275000                3          
     235000             4285000                2          
     235000             4295000                3          
     235000             4305000                3          
     235000             4315000                3          
     235000             4325000                3          
     235000             4335000                3          
     235000             4345000                2          
     235000             4355000                3          
     235000             4365000                3          
     235000             4375000                3          
     235000             4385000                1          
     235000             4395000                1          
     235000             4405000                1          
     235000             4415000                1          
     235000             4425000                1          
     245000             4185000                4          
     245000             4195000                1          
     245000             4205000                1          
     245000             4215000                3          
     245000             4225000                3          
     245000             4235000                3          
     245000             4245000                3          
     245000             4255000                2          
     245000             4265000                2          
     245000             4275000                2          
     245000             4285000                2          
     245000             4295000                2          
     245000             4305000                3          
     245000             4315000                3          
     245000             4325000                3          
     245000             4335000                3          
     245000             4345000                2          
     245000             4355000                2          
     245000             4365000                2          
     245000             4375000                3          
     245000             4385000                3          
     245000             4395000                3          
     245000             4405000                1          
     245000             4415000                1          
     245000             4425000                1          
     245000             4435000                1          
     255000             4185000                4          
     255000             4195000                4          
     255000             4205000                4          
     255000             4215000                3          
     255000             4225000                3          
     255000             4235000                3          
     255000             4245000                3          
     255000             4255000                2          
     255000             4265000                2          
     255000             4275000                2          
     255000             4285000                2          
     255000             4295000                2          
     255000             4305000                2          
     255000             4315000                3          
     255000             4325000                3          
     255000             4335000                2          
     255000             4345000                2          
     255000             4355000                2          
     255000             4365000                2          
     255000             4375000                2          
     255000             4385000                3          
     255000             4395000                3          
     255000             4405000                3          
     255000             4415000                1          
     255000             4425000                1          
     255000             4435000                1          
     265000             4185000                4          
     265000             4195000                4          
     265000             4205000                4          
     265000             4215000                3          
     265000             4225000                3          
     265000             4235000                3          
     265000             4245000                2          
     265000             4255000                2          
     265000             4265000                2          
     265000             4275000                2          
     265000             4285000                2          
     265000             4295000                2          
     265000             4305000                2          
     265000             4315000                2          
     265000             4325000                2          
     265000             4335000                2          
     265000             4345000                2          
     265000             4355000                2          
     265000             4365000                2          
     265000             4375000                2          
     265000             4385000                2          
     265000             4395000                3          
     265000             4405000                3          
     265000             4415000                1          
     265000             4425000                1          
     265000             4435000                1          
     275000             4185000                4          
     275000             4195000                4          
     275000             4205000                4          
     275000             4215000                4          
     275000             4225000                3          
     275000             4235000                3          
     275000             4245000                2          
     275000             4255000                2          
     275000             4265000                2          
     275000             4275000                2          
     275000             4285000                2          
     275000             4295000                2          
     275000             4305000                2          
     275000             4315000                2          
     275000             4325000                2          
     275000             4335000                2          
     275000             4345000                2          
     275000             4355000                2          
     275000             4365000                2          
     275000             4375000                2          
     275000             4385000                2          
     275000             4395000                2          
     275000             4405000                3          
     275000             4415000                3          
     275000             4425000                1          
     275000             4435000                1          
     285000             4185000                4          
     285000             4195000                4          
     285000             4205000                4          
     285000             4215000                4          
     285000             4225000                3          
     285000             4235000                2          
     285000             4245000                2          
     285000             4255000                2          
     285000             4265000                2          
     285000             4275000                2          
     285000             4285000                2          
     285000             4295000                2          
     285000             4305000                2          
     285000             4315000                2          
     285000             4325000                2          
     285000             4335000                2          
     285000             4345000                2          
     285000             4355000                2          
     285000             4365000                2          
     285000             4375000                2          
     285000             4385000                2          
     285000             4395000                2          
     285000             4405000                2          
     285000             4415000                3          
     285000             4425000                3          
     285000             4435000                1          
     295000             4195000                4          
     295000             4205000                4          
     295000             4215000                4          
     295000             4225000                2          
     295000             4235000                2          
     295000             4245000                2          
     295000             4255000                2          
     295000             4265000                2          
     295000             4275000                2          
     295000             4285000                2          
     295000             4295000                2          
     295000             4305000                2          
     295000             4315000                2          
     295000             4325000                2          
     295000             4335000                2          
     295000             4345000                2          
     295000             4355000                2          
     295000             4365000                2          
     295000             4375000                2          
     295000             4385000                2          
     295000             4395000                2          
     295000             4405000                2          
     295000             4415000                2          
     295000             4425000                3          
     295000             4435000                3          
     305000             4205000                4          
     305000             4215000                4          
     305000             4225000                2          
     305000             4235000                2          
     305000             4245000                2          
     305000             4255000                2          
     305000             4265000                2          
     305000             4275000                2          
     305000             4285000                2          
     305000             4295000                2          
     305000             4305000                2          
     305000             4315000                2          
     305000             4325000                2          
     305000             4335000                2          
     305000             4345000                2          
     305000             4355000                2          
     305000             4365000                2          
     305000             4375000                2          
     305000             4385000                2          
     305000             4395000                2          
     305000             4405000                2          
     305000             4415000                2          
     305000             4425000                3          
     305000             4435000                3          
     315000             4235000                2          
     315000             4245000                2          
     315000             4255000                2          
     315000             4265000                2          
     315000             4275000                2          
     315000             4285000                2          
     315000             4295000                2          
     315000             4305000                2          
     315000             4315000                2          
     315000             4325000                2          
     315000             4335000                2          
     315000             4345000                2          
     315000             4355000                2          
     315000             4365000                2          
     315000             4375000                2          
     315000             4385000                2          
     315000             4395000                2          
     315000             4405000                2          
     315000             4415000                2          
     315000             4425000                3          
     315000             4435000                3          
     325000             4265000                2          
     325000             4275000                2          
     325000             4285000                2          
     325000             4295000                2          
     325000             4305000                2          
     325000             4315000                2          
     325000             4325000                2          
     325000             4335000                2          
     325000             4345000                2          
     325000             4355000                2          
     325000             4365000                2          
     325000             4375000                2          
     325000             4385000                2          
     325000             4395000                2          
     325000             4405000                2          
     325000             4415000                2          
     325000             4425000                3          
     325000             4435000                3          
     335000             4305000                2          
     335000             4315000                2          
     335000             4325000                2          
     335000             4335000                2          
     335000             4345000                2          
     335000             4355000                2          
     335000             4365000                2          
     335000             4375000                2          
     335000             4385000                2          
     335000             4395000                2          
     335000             4405000                2          
     335000             4415000                2          
     335000             4425000                3          
     335000             4435000                3          
     345000             4315000                2          
     345000             4325000                2          
     345000             4335000                2          
     345000             4345000                2          
     345000             4355000                2          
     345000             4365000                2          
     345000             4375000                2          
     345000             4385000                2          
     345000             4395000                2          
     345000             4405000                2          
     345000             4415000                3          
     345000             4425000                3          
     345000             4435000                1          
     355000             4325000                2          
     355000             4335000                2          
     355000             4345000                2          
     355000             4355000                2          
     355000             4375000                2          
     355000             4395000                2          
     355000             4405000                2          
     355000             4415000                1          
     355000             4425000                1          
     355000             4435000                1          
     365000             4325000                2          
     365000             4335000                2          
     365000             4345000                2          
     365000             4355000                2          
     365000             4395000                2          
     365000             4405000                2          
     365000             4415000                1          
     365000             4425000                1          
     365000             4435000                1          
     375000             4335000                2          
     375000             4345000                2          
     375000             4355000                2          
     375000             4425000                1          
     375000             4435000                1          
     385000             4355000                2          
     385000             4425000                1          
     385000             4435000                1          
     395000             4425000                1          
     395000             4435000                1          
